,tournamentId,name,year,month,displayDate,dateAccessibilityText,display,status,champions,championEarnings,courseData,logo,beautyImageAsset,ticketing,purse,standings,networks,useTournamentSiteUrl,season_year,tournamentSiteUrl,tournamentCategoryInfo
10,R2012473,World Golf Championships-Cadillac Championship,2012,March,Mar 8 - 11,March 8th through March 11th,SHOW,COMPLETED,"[{'displayName': 'Justin Rose', 'playerId': '22405'}]","$1,400,000","{'name': 'Trump National Doral', 'city': 'Miami', 'stateCode': 'FL', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r473/008/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$8,500,000","{'heading': 'FEDEXCUP', 'value': '550 pts'}",[],False,2012,,
11,R2012483,Puerto Rico Open presented by seepuertorico.com,2012,March,Mar 8 - 11,March 8th through March 11th,SHOW,COMPLETED,"[{'displayName': 'George McNeill', 'playerId': '24490'}]","$630,000","{'name': 'Grand Reserve Golf Club', 'city': 'Rio Grande', 'stateCode': '', 'country': 'Puerto Rico', 'countryCode': 'PUR'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r483/742/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$3,500,000","{'heading': 'FEDEXCUP', 'value': '250 pts'}",[],False,2012,,
12,R2012475,Transitions Championship,2012,March,Mar 15 - 18,March 15th through March 18th,SHOW,COMPLETED,"[{'displayName': 'Luke Donald', 'playerId': '23983'}]","$990,000","{'name': 'Innisbrook Resort (Copperhead Course)', 'city': 'Palm Harbor', 'stateCode': 'FL', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r475/665/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$5,500,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
13,R2012485,Tavistock Cup,2012,March,Mar 19 - 20,March 19th through March 20th,SHOW,COMPLETED,"[{'displayName': 'Retief Goosen', 'playerId': '20157'}, {'displayName': 'Ben Curtis', 'playerId': '22621'}, {'displayName': 'Peter Hanson', 'playerId': '22792'}, {'displayName': 'Graeme McDowell', 'playerId': '25572'}, {'displayName': 'Ross Fisher', 'playerId': '27896'}, {'displayName': 'Gary Woodland', 'playerId': '31323'}]","$180,000","{'name': 'Lake Nona G&CC', 'city': 'Orlando', 'stateCode': 'FL', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r485/764/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$2,170,000",,[],False,2012,,
14,R2012009,Arnold Palmer Invitational presented by MasterCard,2012,March,Mar 22 - 25,March 22nd through March 25th,SHOW,COMPLETED,"[{'displayName': 'Tiger Woods', 'playerId': '08793'}]","$1,080,000","{'name': ""Arnold Palmer's Bay Hill Club & Lodge"", 'city': 'Orlando', 'stateCode': 'FL', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r009/009/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,000,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
15,R2012020,Shell Houston Open,2012,March,Mar 29 - Apr 1,March 29th through April 1st,SHOW,COMPLETED,"[{'displayName': 'Hunter Mahan', 'playerId': '24781'}]","$1,080,000","{'name': 'GC of Houston', 'city': 'Humble', 'stateCode': 'TX', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r020/729/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,000,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
16,R2012014,Masters Tournament,2012,April,Apr 5 - 8,April 5th through April 8th,SHOW,COMPLETED,"[{'displayName': 'Bubba Watson', 'playerId': '25804'}]","$1,440,000","{'name': 'Augusta National Golf Club', 'city': 'Augusta', 'stateCode': 'GA', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r014', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r014/014/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$8,000,000","{'heading': 'FEDEXCUP', 'value': '600 pts'}",[],False,2012,,
17,R2012012,RBC Heritage,2012,April,Apr 12 - 15,April 12th through April 15th,SHOW,COMPLETED,"[{'displayName': 'Carl Pettersson', 'playerId': '25345'}]","$1,026,000","{'name': 'Harbour Town Golf Links', 'city': 'Hilton Head Island', 'stateCode': 'SC', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r012/012/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$5,700,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
18,R2012041,Valero Texas Open,2012,April,Apr 19 - 22,April 19th through April 22nd,SHOW,COMPLETED,"[{'displayName': 'Ben Curtis', 'playerId': '22621'}]","$1,116,000","{'name': 'TPC San Antonio (Oaks Course)', 'city': 'San Antonio', 'stateCode': 'TX', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r041/770/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,200,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
19,R2012018,Zurich Classic of New Orleans,2012,April,Apr 26 - 29,April 26th through April 29th,SHOW,COMPLETED,"[{'displayName': 'Jason Dufner', 'playerId': '25686'}]","$1,152,000","{'name': 'TPC Louisiana', 'city': 'Avondale', 'stateCode': 'LA', 'country': 'United States of America', 'countryCode': 'USA'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'tournaments/logos/r000', 'assetType': 'image', 'fallbackImage': 'tournaments:logos:r000.png'}","{'__typename': 'ImageAsset', 'imageOrg': 'pgatour-prod', 'imagePath': 'pgatour/courses/r018/714/holes/hole18', 'assetType': 'image', 'fallbackImage': 'placeholders:tournamentBackgroundSolid.png'}","{'enabled': False, 'ios': {}, 'android': {}}","$6,400,000","{'heading': 'FEDEXCUP', 'value': '500 pts'}",[],False,2012,,
